Registro,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Driver,CurrentWeight,Componente,KM_Lap,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Event,AVG
1,102.74,2,1,MEDIUM,5,Mercedes,HAM,858.3703704,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2078947
2,102.503,3,1,MEDIUM,6,Mercedes,HAM,856.5555556,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.56735
3,102.916,4,1,MEDIUM,7,Mercedes,HAM,854.7407407,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6763
4,103.13,5,1,MEDIUM,8,Mercedes,HAM,852.9259259,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.9136
5,102.858,6,1,MEDIUM,9,Mercedes,HAM,851.1111111,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8169
6,102.881,7,1,MEDIUM,10,Mercedes,HAM,849.2962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.32185
7,102.733,8,1,MEDIUM,11,Mercedes,HAM,847.4814815,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.3538
8,102.874,9,1,MEDIUM,12,Mercedes,HAM,845.6666667,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,107.17985
9,102.907,10,1,MEDIUM,13,Mercedes,HAM,843.8518519,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.12195
10,102.779,11,1,MEDIUM,14,Mercedes,HAM,842.037037,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1817
11,103.067,12,1,MEDIUM,15,Mercedes,HAM,840.2222222,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2843
12,102.62,13,1,MEDIUM,16,Mercedes,HAM,838.4074074,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,108.3069
13,102.535,14,1,MEDIUM,17,Mercedes,HAM,836.5925926,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.7215
14,102.444,15,1,MEDIUM,18,Mercedes,HAM,834.7777778,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.92595
15,102.292,16,1,MEDIUM,19,Mercedes,HAM,832.962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.91625
16,102.474,17,1,MEDIUM,20,Mercedes,HAM,831.1481481,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.18495
17,102.41,18,1,MEDIUM,21,Mercedes,HAM,829.3333333,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2259
18,102.229,19,1,MEDIUM,22,Mercedes,HAM,827.5185185,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8894
