RaceId,Year,Event,KM per Lap,Laps,Km Total,Weight_loss_lap,Traction,Braking,Lateral,Tyre Stress,Asphalt Grip,Asphalt Abrasion,Downforce,Soft,Medium,Hard
1,2019,Abu Dhabi Grand Prix,5.554,54,299.916,2,3,3,3,3,2,3,3,C5,C4,C3
2,2019,Australian Grand Prix,5.303,57,302.271,1.894736842,3,3,3,3,2,2,3,C4,C3,C2
3,2019,Austrian Grand Prix,4.318,70,302.26,1.542857143,3,4,3,2,2,1,3,C4,C3,C2
4,2019,Hungarian Grand Prix,4.381,68,297.908,1.588235294,3,2,4,3,3,2,5,C4,C3,C2
5,2019,United States Grand Prix,5.513,55,303.215,1.963636364,3,3,4,4,3,4,3,C4,C3,C2
6,2020,70th Anniversary Grand Prix,5.891,51,300.441,2.117647059,3,2,5,5,3,3,4,C4,C3,C2
7,2020,Portuguese Grand Prix,4.653,65,302.445,1.661538462,4,4,3,4,2,2,4,C3,C2,C1
8,2020,Spanish Grand Prix,4.655,65,302.575,1.661538462,3,3,4,4,3,4,4,C3,C2,C1
9,2021,Dutch Grand Prix,4.259,71,302.389,1.521126761,3,2,4,5,3,3,4,C3,C2,C1
10,2021,French Grand Prix,5.842,52,303.784,2.076923077,3,3,4,4,3,3,3,C4,C3,C2
11,2021,Styrian Grand Prix,4.318,70,302.26,1.542857143,3,4,3,2,2,1,3,C4,C3,C2
