Registro,LapTime,LapNumber,Stint,Compound,TyreLife,Team,Driver,CurrentWeight,Componente,KM_Lap,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Event,AVG
978,108.621,2,1,HARD,2,Williams,KUB,858.3703704,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2078947
979,107.74,3,1,HARD,3,Williams,KUB,856.5555556,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.56735
980,107.584,4,1,HARD,4,Williams,KUB,854.7407407,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6763
981,107.599,5,1,HARD,5,Williams,KUB,852.9259259,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.9136
982,107.126,6,1,HARD,6,Williams,KUB,851.1111111,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8169
983,107.021,7,1,HARD,7,Williams,KUB,849.2962963,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.32185
984,106.566,8,1,HARD,8,Williams,KUB,847.4814815,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.3538
985,106.619,9,1,HARD,9,Williams,KUB,845.6666667,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,107.17985
986,107.43,10,1,HARD,10,Williams,KUB,843.8518519,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.12195
987,106.924,11,1,HARD,11,Williams,KUB,842.037037,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1817
988,106.87,12,1,HARD,12,Williams,KUB,840.2222222,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.2843
989,107.047,13,1,HARD,13,Williams,KUB,838.4074074,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,108.3069
990,106.704,14,1,HARD,14,Williams,KUB,836.5925926,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.7215
991,106.344,15,1,HARD,15,Williams,KUB,834.7777778,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.92595
992,106.538,16,1,HARD,16,Williams,KUB,832.962963,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.91625
993,106.332,17,1,HARD,17,Williams,KUB,831.1481481,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.18495
994,106.314,18,1,HARD,18,Williams,KUB,829.3333333,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2259
995,106.614,19,1,HARD,19,Williams,KUB,827.5185185,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,106.8894
996,106.279,20,1,HARD,20,Williams,KUB,825.7037037,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.80105
997,106.501,21,1,HARD,21,Williams,KUB,823.8888889,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.62145
998,108.044,22,1,HARD,22,Williams,KUB,822.0740741,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.1132
999,107.675,23,1,HARD,23,Williams,KUB,820.2592593,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.96145
1000,109.673,24,1,HARD,24,Williams,KUB,818.4444444,C3,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.55695
1001,126.468,25,2,MEDIUM,1,Williams,KUB,816.6296296,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.2558
1002,106.517,26,2,MEDIUM,2,Williams,KUB,814.8148148,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.44505
1003,105.771,27,2,MEDIUM,3,Williams,KUB,813,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.98385
1004,105.494,28,2,MEDIUM,4,Williams,KUB,811.1851852,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.79675
1005,105.235,29,2,MEDIUM,5,Williams,KUB,809.3703704,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.92835
1006,105.321,30,2,MEDIUM,6,Williams,KUB,807.5555556,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.6703
1007,105.417,31,2,MEDIUM,7,Williams,KUB,805.7407407,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.77715
1008,106.144,32,2,MEDIUM,8,Williams,KUB,803.9259259,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.97535
1009,108.665,33,2,MEDIUM,9,Williams,KUB,802.1111111,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.8818
1010,106.831,34,2,MEDIUM,10,Williams,KUB,800.2962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.8103
1011,106.595,35,2,MEDIUM,11,Williams,KUB,798.4814815,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.76795
1012,105.995,36,2,MEDIUM,12,Williams,KUB,796.6666667,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.9835
1013,105.089,37,2,MEDIUM,13,Williams,KUB,794.8518518,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.0281
1014,105.085,38,2,MEDIUM,14,Williams,KUB,793.037037,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.95045
1015,106.577,39,2,MEDIUM,15,Williams,KUB,791.2222222,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,105.6059
1016,105.214,40,2,MEDIUM,16,Williams,KUB,789.4074074,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.6935
1017,105.127,41,2,MEDIUM,17,Williams,KUB,787.5925926,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.87365
1018,105.28,42,2,MEDIUM,18,Williams,KUB,785.7777778,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.4535
1019,105.694,43,2,MEDIUM,19,Williams,KUB,783.962963,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,104.2641
1020,105.636,44,2,MEDIUM,20,Williams,KUB,782.1481481,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.7773
1021,105.419,45,2,MEDIUM,21,Williams,KUB,780.3333333,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.44485
1022,107.004,46,2,MEDIUM,22,Williams,KUB,778.5185185,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3784737
1023,106.841,47,2,MEDIUM,23,Williams,KUB,776.7037037,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0484211
1024,105.357,48,2,MEDIUM,24,Williams,KUB,774.8888889,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0486842
1025,104.721,49,2,MEDIUM,25,Williams,KUB,773.0740741,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.9504737
1026,104.506,50,2,MEDIUM,26,Williams,KUB,771.2592593,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,102.8666316
1027,104.5,51,2,MEDIUM,27,Williams,KUB,769.4444444,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.0323684
1028,106.028,52,2,MEDIUM,28,Williams,KUB,767.6296296,C4,5.554,3,3,3,3,2,2,3,Abu Dhabi Grand Prix,103.3493684
