LapNumber,Stint,TyreLife,CurrentWeight,Traction,Braking,Lateral,TyreStress,AsphaltGrip,AsphaltAbrasion,Downforce,Componente_C1,Componente_C2,Componente_C3,Componente_C4,Componente_C5,Ensayo,Laptime
2,1,1,858.3703704,3,3,3,3,2,2,3,0,0,1,0,0,1,126.77729960000086
3,1,2,856.5555556,3,3,3,3,2,2,3,0,0,1,0,0,1,106.1480221857138
4,1,3,854.7407407,3,3,3,3,2,2,3,0,0,1,0,0,1,104.83141709481114
5,1,4,852.9259259,3,3,3,3,2,2,3,0,0,1,0,0,1,106.77978849303736
6,1,5,851.1111111,3,3,3,3,2,2,3,0,0,1,0,0,1,106.28846466746008
7,1,6,849.2962963,3,3,3,3,2,2,3,0,0,1,0,0,1,106.65581119603122
8,1,7,847.4814815,3,3,3,3,2,2,3,0,0,1,0,0,1,105.7891271626984
9,1,8,845.6666667,3,3,3,3,2,2,3,0,0,1,0,0,1,106.23580131150759
10,1,9,843.8518519,3,3,3,3,2,2,3,0,0,1,0,0,1,105.64933051150722
11,1,10,842.037037,3,3,3,3,2,2,3,0,0,1,0,0,1,104.91008123151857
12,1,11,840.2222222,3,3,3,3,2,2,3,0,0,1,0,0,1,105.36629399133065
13,1,12,838.4074074,3,3,3,3,2,2,3,0,0,1,0,0,1,105.91117046865122
14,1,13,836.5925926,3,3,3,3,2,2,3,0,0,1,0,0,1,103.44622448095272
15,1,14,834.7777778,3,3,3,3,2,2,3,0,0,1,0,0,1,104.5455560440479
16,1,15,832.962963,3,3,3,3,2,2,3,0,0,1,0,0,1,104.81265772063475
17,1,16,831.1481481,3,3,3,3,2,2,3,0,0,1,0,0,1,104.68926133492091
18,1,17,829.3333333,3,3,3,3,2,2,3,0,0,1,0,0,1,105.39612580396857
19,1,18,827.5185185,3,3,3,3,2,2,3,0,0,1,0,0,1,106.20566164206407
20,1,19,825.7037037,3,3,3,3,2,2,3,0,0,1,0,0,1,105.79434486984084
21,1,20,823.8888889,3,3,3,3,2,2,3,0,0,1,0,0,1,105.7408340206349
22,1,21,822.0740741,3,3,3,3,2,2,3,0,0,1,0,0,1,107.05766457817498
23,1,22,820.2592593,3,3,3,3,2,2,3,0,0,1,0,0,1,106.50604830158747
24,1,23,818.4444444,3,3,3,3,2,2,3,0,0,1,0,0,1,106.16821484682555
25,1,24,816.6296296,3,3,3,3,2,2,3,0,0,1,0,0,1,105.11266471071384
