Componente_1,Componente_2,n_vueltas_1,n_vueltas_2,RaceTime
Componente_C3,Componente_C4,33,21,5663.950550204346
Componente_C4,Componente_C2,6,48,4987.505366728831
Componente_C1,Componente_C4,23,31,5697.618247033213
Componente_C1,Componente_C2,21,33,5203.509176026066
Componente_C5,Componente_C4,21,33,5704.019904169269
Componente_C2,Componente_C3,5,49,5623.46917111191
Componente_C5,Componente_C3,12,42,5629.02876683579
Componente_C5,Componente_C1,19,35,5686.022695474026
Componente_C5,Componente_C2,17,37,5155.353679520855
Componente_C5,Componente_C3,18,36,5680.196067037123
Componente_C3,Componente_C4,43,11,5680.410840371016
Componente_C3,Componente_C4,43,11,5680.410840371016
Componente_C1,Componente_C5,17,37,5696.277688053962
Componente_C3,Componente_C5,8,46,5716.593811701842
Componente_C2,Componente_C5,8,46,5594.991441623903
Componente_C5,Componente_C4,3,51,5704.159538853835
Componente_C4,Componente_C3,2,52,5689.208375454144
Componente_C5,Componente_C4,6,48,5701.618964765608
Componente_C3,Componente_C2,12,42,5080.145950614268
Componente_C2,Componente_C4,30,24,5224.297226254762
Componente_C2,Componente_C4,45,9,5006.445682030958
Componente_C2,Componente_C3,2,52,5663.021730118036
Componente_C4,Componente_C3,25,29,5633.705993089921
Componente_C3,Componente_C2,41,13,5499.951280871015
Componente_C3,Componente_C1,42,12,5678.253531871008
Componente_C5,Componente_C2,5,49,4975.187997771834
Componente_C2,Componente_C3,41,13,5063.437776123805
Componente_C1,Componente_C4,4,50,5705.403099232196
Componente_C2,Componente_C1,20,34,5387.55343380952
Componente_C1,Componente_C5,11,43,5711.991318011164
Componente_C2,Componente_C1,19,35,5401.75568233096
Componente_C5,Componente_C2,13,41,5084.612022924419
Componente_C5,Componente_C3,18,36,5680.196067037123
Componente_C2,Componente_C4,32,22,5194.400914516664
Componente_C2,Componente_C4,50,4,4938.565691990473
Componente_C4,Componente_C5,27,27,5675.004761562941
Componente_C3,Componente_C4,9,45,5685.688555380429
Componente_C2,Componente_C3,2,52,5663.021730118036
Componente_C2,Componente_C3,15,39,5420.595604846425
Componente_C4,Componente_C2,10,44,5046.222854010119
Componente_C4,Componente_C3,30,24,5644.862684923257
Componente_C4,Componente_C1,27,27,5633.881669123248
Componente_C3,Componente_C4,27,27,5652.159587080544
Componente_C2,Componente_C4,45,9,5006.445682030958
Componente_C4,Componente_C2,19,35,5179.44632220302
Componente_C5,Componente_C2,21,33,5202.633947978782
Componente_C2,Componente_C1,27,27,5233.664818304761
Componente_C2,Componente_C4,36,18,5122.368083182143
Componente_C2,Componente_C3,7,47,5581.5899106869065
Componente_C3,Componente_C1,28,26,5644.309993254349
Componente_C4,Componente_C5,31,23,5669.063070295472
Componente_C2,Componente_C4,15,39,5443.089788119045
Componente_C1,Componente_C3,2,52,5689.494206683114
Componente_C4,Componente_C2,11,43,5064.328550859047
Componente_C3,Componente_C4,36,18,5659.331202921013
Componente_C4,Componente_C5,5,49,5723.821749581001
Componente_C2,Componente_C5,6,48,5629.25372721984
Componente_C1,Componente_C2,16,38,5133.012957063765
Componente_C3,Componente_C2,40,14,5483.410400204344
Componente_C1,Componente_C5,19,35,5698.4306282166535
Componente_C3,Componente_C2,10,44,5047.890991750313
Componente_C1,Componente_C5,20,34,5698.3953812087175
Componente_C5,Componente_C4,7,47,5701.362827605492
Componente_C4,Componente_C1,4,50,5701.936965420535
Componente_C4,Componente_C2,8,46,5015.785872318309
Componente_C1,Componente_C2,11,43,5064.455071049151
Componente_C1,Componente_C2,24,30,5229.9864712034505
Componente_C4,Componente_C3,31,23,5653.658205873249
Componente_C4,Componente_C3,9,45,5661.6597070982925
Componente_C5,Componente_C1,5,49,5700.772412569886
Componente_C3,Componente_C4,46,8,5684.617338871015
Componente_C5,Componente_C4,9,45,5686.871950733786
Componente_C3,Componente_C2,38,16,5450.256556555544
Componente_C2,Componente_C5,26,28,5294.990402617312
Componente_C3,Componente_C4,8,46,5694.401185560799
Componente_C4,Componente_C2,17,37,5155.487921262143
Componente_C3,Componente_C2,3,51,4943.488736892036
Componente_C3,Componente_C2,2,52,4928.310934301582
Componente_C4,Componente_C1,37,17,5668.7121762994475
Componente_C5,Componente_C1,7,47,5694.478112140695
Componente_C4,Componente_C2,7,47,5001.558222126852
Componente_C5,Componente_C4,17,37,5691.810618043073
Componente_C3,Componente_C2,26,28,5256.514487547205
Componente_C2,Componente_C1,5,49,5627.087244832975
Componente_C5,Componente_C4,18,36,5691.3578916061715
Componente_C2,Componente_C5,7,47,5612.33276621031
Componente_C3,Componente_C1,38,16,5669.82506067458
Componente_C2,Componente_C1,49,5,4953.095280819048
Componente_C5,Componente_C2,6,48,4988.430370665868
Componente_C4,Componente_C1,24,30,5659.574935378011
Componente_C1,Componente_C5,8,46,5715.516067207598
Componente_C5,Componente_C4,3,51,5704.159538853835
Componente_C3,Componente_C5,3,51,5725.173542811829
Componente_C5,Componente_C1,12,42,5646.14775398498
Componente_C1,Componente_C2,21,33,5203.509176026066
Componente_C2,Componente_C3,49,5,4955.039923819047
Componente_C3,Componente_C5,22,32,5697.166574851675
Componente_C4,Componente_C5,2,52,5724.978310099884
Componente_C3,Componente_C5,42,12,5665.5326237598965
Componente_C3,Componente_C4,33,21,5663.950550204346
Componente_C5,Componente_C3,14,40,5622.402280029584
Componente_C1,Componente_C2,2,52,4927.28286429762
Componente_C1,Componente_C4,21,33,5704.895132216551
Componente_C4,Componente_C2,16,38,5134.621870103799
Componente_C4,Componente_C1,7,47,5692.028762609826
Componente_C1,Componente_C4,11,43,5675.370308875017
Componente_C1,Componente_C3,18,36,5679.615080897099
Componente_C3,Componente_C2,8,46,5017.1267488878475
Componente_C3,Componente_C5,35,19,5651.371208559903
Componente_C3,Componente_C1,43,11,5681.1914583710195
Componente_C5,Componente_C3,13,41,5597.405612774676
Componente_C5,Componente_C2,9,45,5033.510597769007
Componente_C1,Componente_C2,19,35,5178.909183326063
Componente_C2,Componente_C5,16,38,5449.063036429455
Componente_C4,Componente_C2,34,20,5378.747461182768
Componente_C4,Componente_C2,24,30,5228.341357861342
Componente_C1,Componente_C5,19,35,5698.4306282166535
Componente_C2,Componente_C3,43,11,5036.260086421435
Componente_C5,Componente_C1,9,45,5675.135216675139
Componente_C3,Componente_C4,10,44,5679.150609059988
Componente_C3,Componente_C2,10,44,5047.890991750313
Componente_C3,Componente_C5,47,7,5680.167841180542
Componente_C1,Componente_C5,3,51,5724.919017828835
Componente_C1,Componente_C4,23,31,5697.618247033213
Componente_C5,Componente_C3,13,41,5597.405612774676
Componente_C3,Componente_C5,36,18,5653.2014022265685
Componente_C2,Componente_C4,16,38,5442.455687692855
Componente_C4,Componente_C5,14,40,5683.893584372276
Componente_C5,Componente_C4,15,39,5669.534549462116
Componente_C3,Componente_C5,15,39,5682.137842290174
Componente_C4,Componente_C1,29,25,5647.809144689907
Componente_C3,Componente_C5,35,19,5651.371208559903
Componente_C2,Componente_C3,50,4,4940.859012990477
Componente_C3,Componente_C2,43,11,5534.577117871019
Componente_C2,Componente_C5,49,5,4950.8470558190475
Componente_C4,Componente_C1,36,18,5663.54960896611
Componente_C3,Componente_C5,35,19,5651.371208559903
Componente_C3,Componente_C1,33,21,5662.290008537691
Componente_C4,Componente_C2,20,34,5190.886918281588
Componente_C4,Componente_C1,17,37,5685.007413772448
Componente_C1,Componente_C5,24,30,5685.784756247995
Componente_C3,Componente_C1,16,38,5672.476853661499
Componente_C5,Componente_C1,4,50,5701.266110750431
Componente_C5,Componente_C2,13,41,5084.612022924419
Componente_C2,Componente_C1,12,42,5462.853640325643
Componente_C2,Componente_C4,44,10,5020.487853500002
Componente_C1,Componente_C5,11,43,5711.991318011164
Componente_C1,Componente_C4,19,35,5694.287814692726
Componente_C5,Componente_C1,13,41,5616.76659425285
Componente_C4,Componente_C1,26,28,5641.275060589914
Componente_C4,Componente_C1,23,31,5671.064879200633
Componente_C5,Componente_C3,15,39,5647.040366189494
Componente_C4,Componente_C3,28,26,5628.546094906592
Componente_C2,Componente_C5,41,13,5049.353348234915
Componente_C3,Componente_C2,18,36,5164.93931954245
Componente_C3,Componente_C5,29,25,5678.801475988472
Componente_C3,Componente_C2,34,20,5380.145202709114
Componente_C2,Componente_C3,45,9,5009.047595030949
Componente_C5,Componente_C4,2,52,5699.058074743683
Componente_C5,Componente_C2,7,47,5004.007571657713
Componente_C2,Componente_C5,15,39,5457.658022480269
Componente_C4,Componente_C1,4,50,5701.936965420535
Componente_C1,Componente_C2,23,31,5220.403301611779
Componente_C5,Componente_C2,20,34,5190.321684739502
Componente_C5,Componente_C2,18,36,5165.192219481569
Componente_C2,Componente_C1,10,44,5513.762848914614
Componente_C1,Componente_C3,29,25,5637.5095466879775
Componente_C5,Componente_C1,19,35,5686.022695474026
Componente_C3,Componente_C2,47,7,5595.558712680548
Componente_C1,Componente_C3,7,47,5686.296941764999
Componente_C5,Componente_C2,17,37,5155.353679520855
Componente_C5,Componente_C4,16,38,5682.867223008544
Componente_C1,Componente_C4,4,50,5705.403099232196
Componente_C5,Componente_C1,10,44,5667.10883474892
Componente_C4,Componente_C3,15,39,5646.428993857804
Componente_C2,Componente_C1,34,20,5151.7498225678655
Componente_C4,Componente_C2,23,31,5218.982480895875
Componente_C3,Componente_C5,6,48,5719.269238656899
Componente_C5,Componente_C4,21,33,5704.019904169269
Componente_C1,Componente_C3,13,41,5595.206893556947
Componente_C4,Componente_C5,5,49,5723.821749581001
Componente_C3,Componente_C2,5,49,4975.058259525935
Componente_C3,Componente_C1,31,23,5668.294881037679
Componente_C5,Componente_C3,16,38,5666.512305089899
Componente_C4,Componente_C3,12,42,5627.139614035085
Componente_C4,Componente_C3,25,29,5633.705993089921
Componente_C3,Componente_C5,2,52,5726.292211332831
Componente_C2,Componente_C3,3,51,5654.7763838376995
Componente_C1,Componente_C2,29,25,5298.8314735213
Componente_C3,Componente_C1,37,17,5667.487873587676
Componente_C1,Componente_C2,4,50,4959.661817682059
Componente_C4,Componente_C2,12,42,5078.715244325309
Componente_C1,Componente_C4,27,27,5648.723155692738
Componente_C1,Componente_C4,15,39,5667.586000433642
Componente_C3,Componente_C5,44,10,5673.284985815454
Componente_C5,Componente_C1,16,38,5674.510344582348
Componente_C4,Componente_C3,4,50,5698.853160891928
Componente_C2,Componente_C3,6,48,5600.5021786797615
Componente_C5,Componente_C1,15,39,5657.9052963994245
Componente_C3,Componente_C1,28,26,5644.309993254349
Componente_C1,Componente_C4,12,42,5663.3995917359825
Componente_C3,Componente_C4,10,44,5679.150609059988
Componente_C5,Componente_C3,10,44,5654.697870254901
Componente_C5,Componente_C4,10,44,5680.7165957400075
Componente_C2,Componente_C1,22,32,5356.897549742865
Componente_C5,Componente_C3,20,34,5673.988333415686
Componente_C2,Componente_C5,14,40,5472.746411894955
Componente_C1,Componente_C3,21,33,5673.611415160594
Componente_C1,Componente_C4,12,42,5663.3995917359825
Componente_C2,Componente_C5,21,33,5382.725126547733
Componente_C3,Componente_C5,25,29,5689.801519868344
Componente_C2,Componente_C1,19,35,5401.75568233096
Componente_C3,Componente_C5,12,42,5706.8037471544585
Componente_C2,Componente_C1,2,52,5667.3400128308795
Componente_C2,Componente_C3,26,28,5241.399623640473
Componente_C2,Componente_C4,23,31,5351.162625450003
Componente_C4,Componente_C2,28,26,5281.1144093232515
Componente_C1,Componente_C4,28,26,5653.124941137978
Componente_C3,Componente_C2,30,24,5318.80605410436
Componente_C5,Componente_C2,14,40,5103.735731373624
Componente_C3,Componente_C4,31,23,5678.047315037684
Componente_C4,Componente_C2,9,45,5030.4915037949695
Componente_C4,Componente_C1,28,26,5639.479657656581
Componente_C3,Componente_C4,18,36,5691.104991667045
Componente_C5,Componente_C2,18,36,5165.192219481569
Componente_C1,Componente_C5,15,39,5682.154234794858
Componente_C2,Componente_C5,34,20,5147.052331540077
Componente_C2,Componente_C1,2,52,5667.3400128308795
Componente_C4,Componente_C5,23,31,5681.781404669786
Componente_C4,Componente_C3,20,34,5674.553566957785
Componente_C5,Componente_C1,7,47,5694.478112140695
Componente_C2,Componente_C4,24,30,5323.519913319049
Componente_C1,Componente_C3,6,48,5689.752330788003
Componente_C3,Componente_C4,7,47,5699.745921434819
Componente_C1,Componente_C4,24,30,5684.223865803448
Componente_C5,Componente_C1,6,48,5695.566624340905
Componente_C3,Componente_C5,29,25,5678.801475988472
Componente_C4,Componente_C2,11,43,5064.328550859047
Componente_C3,Componente_C5,24,30,5688.674505296524
Componente_C3,Componente_C4,18,36,5691.104991667045
Componente_C1,Componente_C4,29,25,5662.059200021308
Componente_C3,Componente_C1,44,10,5683.605712371019
Componente_C3,Componente_C1,5,49,5700.642674323997
Componente_C3,Componente_C2,37,17,5433.833397754342
Componente_C1,Componente_C4,2,52,5699.27484163734
Componente_C2,Componente_C4,37,17,5111.927216990477
Componente_C4,Componente_C2,22,32,5214.521889284752
Componente_C4,Componente_C2,20,34,5190.886918281588
Componente_C1,Componente_C5,25,29,5686.622291606723
Componente_C2,Componente_C4,46,8,4992.845946788092
Componente_C1,Componente_C4,30,24,5670.689193426066
Componente_C4,Componente_C2,36,18,5415.646032132783
Componente_C3,Componente_C1,48,6,5685.395810680533
Componente_C1,Componente_C2,22,32,5215.325138932418
Componente_C1,Componente_C5,15,39,5682.154234794858
Componente_C1,Componente_C5,23,31,5683.202225385697
Componente_C1,Componente_C3,22,32,5666.44345392885
Componente_C2,Componente_C1,30,24,5212.339644921422
Componente_C4,Componente_C2,5,49,4975.25078605859
Componente_C5,Componente_C1,14,40,5637.727925974815
Componente_C5,Componente_C4,2,52,5699.058074743683
Componente_C5,Componente_C1,5,49,5700.772412569886
Componente_C3,Componente_C2,26,28,5256.514487547205
Componente_C5,Componente_C3,4,50,5698.182306221824
Componente_C3,Componente_C5,34,20,5654.400307181332
Componente_C4,Componente_C1,32,22,5664.148964182775
Componente_C5,Componente_C3,2,52,5689.277439789469
Componente_C5,Componente_C1,9,45,5675.135216675139
Componente_C3,Componente_C1,43,11,5681.1914583710195
Componente_C2,Componente_C4,20,34,5400.11655989762
